Column1	Column2
Go.	Mene.
Hi.	Moro!
Hi.	Terve.
Run!	Juokse!
Run!	Juoskaa!
Run.	Juokse.
Who?	Kuka?
Wow!	Mahtavaa!
Wow!	Siisti„!
Wow!	Vau!
Duck!	V„ist„!
Duck!	Kumarru!
Fire!	Tulta!
Help!	Apua!
Help!	Auttakaa!
Help!	Auta!
Hide.	Piiloon.
Hide.	Piiloudu.
Hide.	Piiloutukaa.
Hide.	Mene piiloon.
Hide.	Menk„„ piiloon.
Hide.	Talja.
Hide.	Vuota.
Hide.	Nahka.
Hide.	Piilota.
Hide.	Piilottakaa.
Hide.	Jemmaa.
Hide.	Jemmatkaa.
Hide.	K„tke.
Hide.	K„tkek„„.
Hide.	K„tkeydy.
Hide.	K„tkeytyk„„.
Hide.	Piilottele.
Hide.	Piilotelkaa.
Jump!	Hypp„„!
Jump!	Hyp„tk„„!
Jump.	Hypp„„.
Jump.	Hyp„tk„„.
Stay.	Paikka.
Stay.	Pysy.
Stay.	Pysyk„„.
Stay.	J„„.
Stay.	J„„k„„.
Stop!	Lopeta!
Stop!	Seis!
Stop!	Pys„hdy!
Wait!	Odota!
Wait!	Odottakaa!
Wait.	Odota.
Begin.	Aloita.
Begin.	Aloittakaa.
Begin.	Ala.
Begin.	Alkakaa.
Do it.	Tee se.
Do it.	Tehk„„ se.
Hello!	Haloo?
Hello!	Hei!
Hello!	Moi!
Hello!	Terve!
Hello!	Heippa!
Hello!	Moikka!
Hello!	Moro!
Hello.	Haloo.
Hello.	Terve.
Hurry!	Kiiruhda!
Hurry!	Pid„ kiirett„!
Hurry!	Pit„k„„ kiirett„!
Hurry!	Kiiruhtakaa!
Hurry!	Vauhtia!
I bit.	Purin.
I bit.	Puraisin.
I see.	Ymm„rr„n.
I see.	N„en.
I see.	Min„ n„en.
I see.	Min„ ymm„rr„n.
I try.	Yrit„n.
I won!	M„ voitin!
Oh no!	Voi ei!
Relax.	Ota rennosti.
Relax.	Rentoudu.
Shoot!	Ammu!
Shoot!	Ampukaa!
Shoot!	Laukaise!
Shoot!	Laukaiskaa!
Shoot!	Anna tulla!
Shoot!	Antakaa tulla!
Smile.	Sanokaa ?muikku?!
Smile.	Hymyile.
